,uID,stcOri,sdcLAL,sdcAre,sscCCo,sscERI,sicCAR,mtcWNe,mdcAre,sdbAre,sdbPer,ssbCCo,ssbCor,ssbSqu,ssbERI,ssbElo,ssbCCM,ssbCCD,stbOri,stbCeA,mtbAli,mtbNDi,ltbIBD,ltcBuA
3937,3937,11.031774557036101,10.840863171980429,30.64580984345433,0.33201178157058414,0.8822767830107355,0.37843677199597486,0.150349742981724,385.71840978988837,11.597501352359329,15.813098021813177,0.3651186989005076,4,3.0344176928613393,0.9953602365610579,0.3324582934369689,3.1324502052798553,0.06673120421322697,33.69639863889793,22.66462408186183,5.836190507920783,1.6298112523241552,3.232581028016546,1.0
3938,3938,2.1298448677354145,8.944024218238454,31.89738036621321,0.5076906940413048,0.9646478018539204,0.5498560088427893,0.2126612818940997,737.2620814520982,17.538966260706342,21.239683933832232,0.395475795109873,6,0.07220990338922206,0.7887449197882271,0.9797865472039072,2.872013638930547,1.2930251949163205,2.499296116838252,0.36945124910283766,4.52271977483661,0.8298289685845853,6.919522356073432,0.9807692307692307
3939,3939,27.218752607022083,18.11746704755936,122.95886544036122,0.4769523639721545,0.9990411385136104,0.814614506625301,0.14603758730476557,937.0286706465329,100.16407550590662,44.19263661963792,0.44283477450943476,4,0.020838008342874303,1.0000311676239004,0.40487387291549615,8.484089726938882,0.0010734463337472616,26.897052303737,0.32170030328508403,2.989341249771488,0.9242080438881297,3.1009939718114112,1.0
3940,3940,33.36692750572553,27.48666230370457,157.92235412077062,0.2661397314639452,0.8500081762256381,0.5078811285968468,0.11901585115710993,917.6559704490999,80.20578344152787,46.81443058386594,0.2635379469703408,4,0.00524248437771746,1.0000063780666468,0.2167067825434163,9.842334073142565,0.00018640695649258592,42.295858205047864,8.928930699322336,4.139888228409295,5.213568222428676,3.2804521882900577,1.0
3941,3941,22.844464786967464,14.486655413867629,59.494057190282334,0.36095033181963837,0.8849319871949668,0.4080532215323546,0.13459636087264804,1095.0720433814645,24.27674169852485,20.2640412524609,0.5628330193747545,4,0.9693377309316382,1.0010518005749942,0.6171202399198339,3.6774393264926735,0.02797800772154647,31.704030018648723,8.859565231681259,5.335671013310753,4.832391235928345,5.847531339122469,0.8837209302325582
3942,3942,22.531872278436612,14.151956684987018,98.3626905240763,0.6253275126731827,0.998896834860987,0.29452642844984905,0.12579129586033103,1185.7568930221055,28.970411932774006,21.551322554628356,0.6236664656122256,4,0.9674559195120729,1.0002937889209458,0.9030607955023396,3.813190142533742,0.03207421591725897,31.275916163285558,8.744043884848946,6.740993005465073,4.5340806259968005,5.832265769279526,0.9024390243902439
3943,3943,42.874985968881504,17.584206838881503,72.23392462357894,0.2974443768519655,0.9270639309523707,0.5522619353571089,0.18616352899621394,610.9734671891198,39.89204701105723,27.569267462324174,0.4546038439171136,4,1.0846884901578484,1.001570696040929,0.4249355955376279,5.249108437426665,0.03597286876048866,35.770423712252295,7.104562256629208,5.115892039992658,3.9305455244081937,2.8220356655677428,1.0
3944,3944,17.498956717981372,18.537291410064526,154.46333130492576,0.5723253219842,0.9981979700167226,0.1869803412480122,0.14004849952622453,1066.5051124621752,28.881606397699784,21.948164556313824,0.5851551838205202,4,0.1751956329498796,1.0001380550378707,0.663271286361982,3.9581188581294406,0.0058784700820436195,20.46303367522424,2.9640769572428667,11.773540291923883,9.873131459992345,5.040974863662681,1.0
3945,3945,37.581230888130506,8.46354269493886,35.54378115709944,0.6317850809021126,1.020160612489939,0.6480510114315805,0.2129831602809777,215.98154392416464,23.034183328961042,19.26179241223668,0.6280818120331731,4,0.010959987019369066,1.0000066202362827,0.848995118206218,3.4163501656156607,0.00032243179592567945,37.53781601647776,0.04341487165274316,2.3831197276580243,0.8445012610530217,2.4787528518638706,1.0
3946,3946,32.38946668530212,7.446779757922535,27.627856984936667,0.6343373721530275,1.05043913886441,0.4857292024613313,0.2429014423923471,232.40800137809947,13.419656939009007,17.095928678602025,0.3690952691537976,4,0.13759573048477947,1.0001972429905355,0.31977498759566625,3.3995691126658576,0.00236995832022235,34.570671700860075,2.181205015557957,0.8697668832268419,1.108498358383927,2.709522147706767,1.0
3947,3947,35.045951307292476,7.667012480004295,29.60747706258337,0.6412969578929143,0.9635645920460403,0.7331528665228055,0.221176824988617,218.03635383770697,21.706806678941213,18.719257598085107,0.6246555870281131,4,0.07406989916829687,1.0000500902596514,0.8271361493482537,3.3237397536645052,0.00211070869190915,34.27120113587878,0.7747501714136931,1.7496637735160419,0.5811885511723669,2.9200022003975565,1.0
3948,3948,26.616676321859828,26.176679537663222,255.54317494885436,0.47483780899393246,0.8669449285188636,0.6942659742558885,0.1465683427063025,1749.8940730980637,177.41493132030934,61.46394898251225,0.47245406577634563,6,0.04475160537934878,0.8722944718469966,0.7989760674381756,8.758655442723933,2.8252553906311646,37.689254324567585,11.072578002707758,3.1396141332231697,2.7061122664500923,3.717187943358375,1.0
3949,3949,37.11219769938556,24.92482725837746,98.76207091549757,0.20241187708613528,0.8932051179480753,0.30975260460566273,0.10748383570298845,1508.576412184151,30.591808702324546,25.9315237505541,0.3640357535069732,4,0.06516373981498447,1.000093097094756,0.31426233994263036,5.170283181559822,0.0016823423933886744,34.98784248200525,2.1243552173803124,5.605659828421275,7.1332214143683315,5.535920282980968,0.9534883720930233
3950,3950,38.27143149603785,9.233204334713896,47.53000541874168,0.709860627854221,1.0279995830797133,0.5082385583508882,0.22357355673251758,748.0944442175801,24.156581432431175,19.768587340175877,0.6219326849507734,4,0.0806891428520764,1.0000594746965499,0.8093736106509425,3.513759637053767,0.002420450413573735,36.53623167488374,1.7351998211541115,1.0537691508059233,1.8905975789319485,5.464173143581994,0.9591836734693877
3951,3951,36.54837870504731,57.93954035245492,1176.675893690371,0.44628972058795996,0.989025772972302,0.010621856297367095,0.03406941722792814,4980.251551338084,12.49848225135512,15.19056800427831,0.4859549841576507,4,0.1362565714038375,0.9999478500098581,0.4651080312317151,2.858812013335867,0.0031718815852514962,31.184886380289228,5.363492324758084,5.979978032469669,7.708221062379366,5.56617667962345,1.0
